protein,ligand,lambdai,Gi(kcal/mol),stddev(kcal/mol),dG(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,
9bCD,TDZ,0.3,82.69513,0.08345525,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.35,80.32657,0.1076014,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.4,75.61274,0.1204739,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.45,68.87223,0.1325323,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.5,60.04609,0.14409,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,1,0,0,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.95,19.03952,0.01326837,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.9,37.74392,0.0248564,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.85,55.92308,0.03892416,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.8,72.52613,0.06746044,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.75,87.31487,0.08463557,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.7,85.51605,0.1080208,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.65,80.95898,0.1239576,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.6,74.13844,0.1361733,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.55,65.07358,0.1478682,-5.520461,0.213451,0.18 ,,
9bCD,TDZ,0.5,53.94589,0.1574779,-5.520461,0.213451,0.18 ,,
9bCD,CPZ,0,0,0,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.05,18.26307,0.02421446,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.1,35.40851,0.04925326,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.15,51.35942,0.06381243,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.2,65.36464,0.1017576,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.25,76.62546,0.1106184,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.3,72.04246,0.1226792,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.35,65.09802,0.1320559,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.4,57.05576,0.1371228,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.45,48.22162,0.1411597,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.5,38.7087,0.144961,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,1,0,0,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.95,18.85383,0.01538398,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.9,37.21479,0.03101498,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.85,54.4031,0.05894199,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.8,68.62536,0.1174541,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.75,79.78468,0.1247339,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.7,73.57276,0.1435592,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.65,64.32245,0.1524474,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.6,53.91509,0.1567341,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.55,42.73131,0.160045,-7.224191,0.218272,-1.81 ,,
9bCD,CPZ,0.5,30.90477,0.1631835,-7.224191,0.218272,-1.81 ,,
